Fakultät	Veranstaltungstitel	Bisonlink	Veranstaltungsart	SWS	Sprache	Tag	Personen
Fakultät Architektur und Urbanistik	3. Planungsprojekt: Denkmalensemble(s) - Möglichkeiten, Grenzen und Alternativen im Umgang mit dem städtebaulichen Erbe	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=47727&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Projekt	8	deutsch	Do.	Fakultät Architektur und Urbanistik,Hans-Rudolf Meier :3 S: Fakultät Architektur und Urbanistik,Kirsten Angermann :3 S: Fakultät Architektur und Urbanistik,Christine Dörner :3 S: Fakultät Architektur und Urbanistik,Mark Escherich
Fakultät Kunst und Gestaltung	Seminar Kunstgeschichte (Einführungsmodul Lehramt)	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=47899&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Wissenschaftliches Modul	2	deutsch	Mo.	Fakultät Kunst und Gestaltung,Thomas Fuchs :3 S: Fakultät Kunst und Gestaltung,keine öffentliche Person
Fakultät Kunst und Gestaltung	Die Kunst des Drehbuchschreibens (Ma)	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=48126&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Projektmodul	16	deutsch	Fr.	Fakultät Kunst und Gestaltung,Wolfgang Kissel :3 S: Fakultät Kunst und Gestaltung,Lena Liberta :3 S: Fakultät Kunst und Gestaltung,keine öffentliche Person
Fakultät Architektur und Urbanistik	Introduction to Programming with Processing	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=48064&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Seminar	2	englisch	Mi.	Fakultät Architektur und Urbanistik,Reinhard König
Fakultät Architektur und Urbanistik	Contested Modernism	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=48229&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Seminar	4	englisch	Do.	Fakultät Architektur und Urbanistik,Daniela Zupan :3 S: <img alt=BISON-Portal border=0 high=68 src=/QIS/images/bison.jpg width=150/>, N.N.
missing	Forschungsdatenmanagement: Organisation, Dokumentation und Veröffentlichung	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=48399&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Workshop	missing	deutsch	Do.	Fakultätsübergreifende Einrichtungen,Ute Mai :3 S: Fakultätsübergreifende Einrichtungen,Franziska Matthes
missing	Disputation Frau Goswami	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=48638&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Sonstige Veranstaltung	missing	missing	Do.	missing
Fakultät Kunst und Gestaltung	THE PROMISE OF A THING	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=47862&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Projektmodul	18	deutsch/englisch	Di.	Fakultät Kunst und Gestaltung,Andreas Mühlenberend :3 S: Fakultät Kunst und Gestaltung,Benjamin Fonfara :3 S: Fakultät Kunst und Gestaltung,Niklas Hamann :3 S: Fakultät Kunst und Gestaltung,keine öffentliche Person
Fakultät Kunst und Gestaltung	Vorbereitung auf den Medienkunstpreis 2021	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=48248&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Werk-/Fachmodul	4	deutsch/englisch	missing	Fakultät Kunst und Gestaltung,Wolfgang Kissel :3 S: Fakultät Kunst und Gestaltung,keine öffentliche Person
Fakultät Architektur und Urbanistik	Projektentwicklung	https://www.uni-weimar.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=48351&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung	Integrierte Vorlesung	2	deutsch	Mi.	Zentrale Einrichtungen,Alexandra Pommer :3 S: Fakultät Architektur und Urbanistik,Bernd Nentwig
